epoch: 36 || Test_Reward: -44.83684355922928 || Final_Distance_to_Target: 0.08807905996065724 || Continuity_Cost: 0.0 || Reaching_Success: 0 
epoch: 37 || Test_Reward: -44.075337585454385 || Final_Distance_to_Target: 0.0872821290160723 || Continuity_Cost: 1.6846388650390565e-10 || Reaching_Success: 0 
epoch: 38 || Test_Reward: -42.316138678413594 || Final_Distance_to_Target: 0.08852003126704837 || Continuity_Cost: 5.47335377162287e-12 || Reaching_Success: 0 
epoch: 39 || Test_Reward: -42.23075241882664 || Final_Distance_to_Target: 0.07923625374249622 || Continuity_Cost: 2.1763227664450824e-06 || Reaching_Success: 0 
epoch: 40 || Test_Reward: -41.52159864324427 || Final_Distance_to_Target: 0.07669170267694701 || Continuity_Cost: 0.11915594805032015 || Reaching_Success: 0 
epoch: 41 || Test_Reward: -41.60489187183703 || Final_Distance_to_Target: 0.057528718585939054 || Continuity_Cost: 1.2686221850799484e-06 || Reaching_Success: 0 
epoch: 42 || Test_Reward: -25.219703401152394 || Final_Distance_to_Target: 0.034558000580380326 || Continuity_Cost: 2.642890065908432 || Reaching_Success: 0 
epoch: 43 || Test_Reward: -22.027779746896215 || Final_Distance_to_Target: 0.03453698145124159 || Continuity_Cost: 4.190705716609955 || Reaching_Success: 0 
epoch: 44 || Test_Reward: -22.027456028871285 || Final_Distance_to_Target: 0.03453673662761931 || Continuity_Cost: 5.252181738615036 || Reaching_Success: 0 
epoch: 45 || Test_Reward: -22.027327195416458 || Final_Distance_to_Target: 0.03453592880143429 || Continuity_Cost: 5.2653588354587555 || Reaching_Success: 0 
epoch: 46 || Test_Reward: -22.02703099669436 || Final_Distance_to_Target: 0.03453350472399912 || Continuity_Cost: 5.4957471787929535 || Reaching_Success: 0 
epoch: 47 || Test_Reward: -22.02668232481565 || Final_Distance_to_Target: 0.03453287552066382 || Continuity_Cost: 6.884944438934326 || Reaching_Success: 0 
epoch: 48 || Test_Reward: -22.026903745485225 || Final_Distance_to_Target: 0.0345339706082784 || Continuity_Cost: 7.479475438594818 || Reaching_Success: 0 
epoch: 49 || Test_Reward: -22.026738517599888 || Final_Distance_to_Target: 0.03453306790614851 || Continuity_Cost: 3.0741283670067787 || Reaching_Success: 0 
