epoch: 5 || Test_Reward: -24.443942933938615 || Final_Distance_to_Target: 0.05132842886162256 || Continuity_Cost: 9.790956974029541 
epoch: 6 || Test_Reward: -24.443664621764256 || Final_Distance_to_Target: 0.05132738253188347 || Continuity_Cost: 9.056121110916138 
epoch: 7 || Test_Reward: -24.443621289760753 || Final_Distance_to_Target: 0.05132657780678445 || Continuity_Cost: 10.565366595983505 
epoch: 8 || Test_Reward: -24.443489438880327 || Final_Distance_to_Target: 0.05132503305633455 || Continuity_Cost: 13.404962420463562 
epoch: 0 || Test_Reward: -64.68521873477842 || Final_Distance_to_Target: 0.47909286196605083 || Continuity_Cost: 1.6710033640265465 
epoch: 1 || Test_Reward: -64.52793995893249 || Final_Distance_to_Target: 0.47909424645485765 || Continuity_Cost: 1.9132815301418304 
epoch: 2 || Test_Reward: -64.75656177342705 || Final_Distance_to_Target: 0.4790922388586194 || Continuity_Cost: 2.3737676441669464 
epoch: 3 || Test_Reward: -64.70501628861538 || Final_Distance_to_Target: 0.4790935006015795 || Continuity_Cost: 2.1621622145175934 
epoch: 4 || Test_Reward: -64.61926171917843 || Final_Distance_to_Target: 0.47909347122514223 || Continuity_Cost: 1.7685702070593834 
epoch: 5 || Test_Reward: -64.61658167852607 || Final_Distance_to_Target: 0.4790936484135249 || Continuity_Cost: 1.6043853014707565 
epoch: 6 || Test_Reward: -64.67693330212916 || Final_Distance_to_Target: 0.4790918481992531 || Continuity_Cost: 2.8636839240789413 
epoch: 7 || Test_Reward: -64.95635460915493 || Final_Distance_to_Target: 0.47909200648494416 || Continuity_Cost: 1.5167740173637867 
epoch: 8 || Test_Reward: -64.56446639118334 || Final_Distance_to_Target: 0.4790923532463006 || Continuity_Cost: 3.1174439936876297 
epoch: 9 || Test_Reward: -64.94611308016354 || Final_Distance_to_Target: 0.47909233418835073 || Continuity_Cost: 3.5308346152305603 
epoch: 10 || Test_Reward: -64.63804029111564 || Final_Distance_to_Target: 0.47909311659238335 || Continuity_Cost: 1.657501794397831 
epoch: 11 || Test_Reward: -64.76799930765756 || Final_Distance_to_Target: 0.4790944415318679 || Continuity_Cost: 2.660141699016094 
epoch: 12 || Test_Reward: -64.521599245124 || Final_Distance_to_Target: 0.4790946217502615 || Continuity_Cost: 1.676580123603344 
epoch: 13 || Test_Reward: -64.76059709312439 || Final_Distance_to_Target: 0.4790944897389025 || Continuity_Cost: 2.6487598195672035 
